,Date,Timestamp,ApolloX,ApolloX,ApolloX,ApolloX,ApolloX,ApolloX,ApolloX,ApolloX,ApolloX,ApolloX,ApolloX,ApolloX,ApolloX,ApolloX,ApolloX,ApolloX,ApolloX,ApolloX,ApolloX,ApolloX,ApolloX,ApolloX,ApolloX,ApolloX,ApolloX,ApolloX,ApolloX,ApolloX,ApolloX,ApolloX,ApolloX,ApolloX,ApolloX,ApolloX,ApolloX,ApolloX,ApolloX,ApolloX
,,,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives
,,,bsc,bsc-staking,pool2,Total,bsc-pool2,staking,bsc,bsc,bsc,bsc,bsc,bsc-staking,pool2,pool2,Total,Total,Total,Total,Total,bsc-pool2,bsc-pool2,staking,bsc,bsc,bsc,bsc,bsc,bsc-staking,pool2,pool2,Total,Total,Total,Total,Total,bsc-pool2,bsc-pool2,staking
,,,TVL,TVL,TVL,TVL,TVL,TVL,Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens
,,,,,,,,,BABY,USDT,BUSD,LEOS,CAKE,APX,APX,BUSD,BABY,USDT,BUSD,LEOS,CAKE,APX,BUSD,APX,BABY,USDT,BUSD,LEOS,CAKE,APX,APX,BUSD,BABY,USDT,BUSD,LEOS,CAKE,APX,BUSD,APX
,19/05/2022,1652918400,14145346.590576777,436285.24611370417,2798848.0389162367,14145346.590576777,2798848.0389162367,436285.24611370417,199.68526955931694,10477654.906379966,3418589.3160161497,39.79012867646102,248862.8927824272,436285.24611370417,1410859.854734896,1387988.1841813407,199.68526955931694,10477654.906379966,3418589.3160161497,39.79012867646102,248862.8927824272,1410859.854734896,1387988.1841813407,436285.24611370417,1296.27039689,10467187.718661306,3411765.784447255,281.34747026,54575.19578562,8538373.0182536,27611402.914748345,1385217.7486839727,1296.27039689,10467187.718661306,3411765.784447255,281.34747026,54575.19578562,27611402.914748345,1385217.7486839727,8538373.0182536
,20/05/2022,1653004800,14279213.254773602,433151.66321600514,2791490.4541380983,14279213.254773602,2791490.4541380983,433151.66321600514,198.4978858757657,10521122.655023012,3511700.0738326055,34.69972786951606,246157.3283042412,433151.66321600514,1393266.770009705,1398223.6841283932,198.4978858757657,10521122.655023012,3511700.0738326055,34.69972786951606,246157.3283042412,1393266.770009705,1398223.6841283932,433151.66321600514,1296.27039689,10500122.410202608,3497709.236885065,281.34762409,54580.33887012,8538373.0182536,27464355.805434756,1392653.071841029,1296.27039689,10500122.410202608,3497709.236885065,281.34762409,54580.33887012,27464355.805434756,1392653.071841029,8538373.0182536
,21/05/2022,1653091200,14384697.714605138,441032.63102981733,2823784.8382886993,14384697.714605138,2823784.8382886993,441032.63102981733,189.89065044041612,10585407.731911507,3556937.6382908486,42.44350160322922,242120.01025073917,441032.63102981733,1401685.8679551512,1422098.970333548,189.89065044041612,10585407.731911507,3556937.6382908486,42.44350160322922,242120.01025073917,1401685.8679551512,1422098.970333548,441032.63102981733,1296.27039689,10585407.731911507,3546298.742064655,281.34923539,54654.62985344,8488906.167567797,26979363.82097916,1417845.434031454,1296.27039689,10585407.731911507,3546298.742064655,281.34923539,54654.62985344,26979363.82097916,1417845.434031454,8488906.167567797
,22/05/2022,1653177600,14446693.496945504,455077.7693409109,2870215.0367044243,14446693.496945504,2870215.0367044243,455077.7693409109,234.69170334695366,10638804.244569376,3556621.5329438667,44.00766611569536,250989.0200627964,455077.7693409109,1436309.4837000584,1433905.5530043659,234.69170334695366,10638804.244569376,3556621.5329438667,44.00766611569536,250989.0200627964,1436309.4837000584,1433905.5530043659,455077.7693409109,1599.77439689,10628176.068500876,3545983.582197275,281.35375424,54801.09608358,8479657.319039837,26763364.520097237,1429616.702895679,1599.77439689,10628176.068500876,3545983.582197275,281.35375424,54801.09608358,26763364.520097237,1429616.702895679,8479657.319039837
,23/05/2022,1653264000,13819373.222664261,434370.5648080885,3002610.415347067,13819373.222664261,3002610.415347067,434370.5648080885,236.41945969559487,9879674.908452947,3672556.0249134065,42.8028468953019,266863.066991318,434370.5648080885,1563116.8323867023,1439493.5829603649,236.41945969559487,9879674.908452947,3672556.0249134065,42.8028468953019,266863.066991318,1563116.8323867023,1439493.5829603649,434370.5648080885,1599.77439689,9869805.103349598,3665225.573765875,281.35704263,54797.3443514,7402739.826645679,26639344.75836703,1436620.3422758132,1599.77439689,9869805.103349598,3665225.573765875,281.35704263,54797.3443514,26639344.75836703,1436620.3422758132,7402739.826645679
,24/05/2022,1653350400,13850823.233056102,441470.9347436268,3071446.5630661603,13850823.233056102,3071446.5630661603,441470.9347436268,236.0163180101767,9909613.811846204,3678738.5827594395,49.471087567983844,262185.35104488,441470.9347436268,1536121.8928875283,1535324.6701786318,236.0163180101767,9909613.811846204,3678738.5827594395,49.471087567983844,262185.35104488,1536121.8928875283,1535324.6701786318,441470.9347436268,1643.23582292,9899714.097748457,3671395.791177085,281.36709191,54621.94813435,7274795.002778723,25313040.996745955,1532260.149878874,1643.23582292,9899714.097748457,3671395.791177085,281.36709191,54621.94813435,25313040.996745955,1532260.149878874,7274795.002778723
