,Date,Timestamp,dYdX,dYdX,dYdX,dYdX,dYdX,dYdX,dYdX,dYdX,dYdX,dYdX,dYdX,dYdX,dYdX,dYdX,dYdX,dYdX,dYdX,dYdX,dYdX,dYdX
,,,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives
,,,ethereum,Total,ethereum,ethereum,ethereum,ethereum,Total,Total,Total,Total,Total,ethereum,ethereum,ethereum,ethereum,Total,Total,Total,Total,Total
,,,TVL,TVL,Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens
,,,,,WETH,USDC,SAI,DAI,UNKNOWN (0x89d24A6b4CcB1B6fAA2625fE562bDD9a23260359),WETH,USDC,DAI,SAI,WETH,USDC,SAI,DAI,UNKNOWN (0x89d24A6b4CcB1B6fAA2625fE562bDD9a23260359),WETH,USDC,DAI,SAI
,10/11/2020,1604966400,,33633864,,,,,,,,,,,,,,,,,,
,11/11/2020,1605052800,,36021718,,,,,,,,,,,,,,,,,,
,12/11/2020,1605139200,,36946001,,,,,,,,,,,,,,,,,,
,13/11/2020,1605225600,,38182682,,,,,,,,,,,,,,,,,,
,14/11/2020,1605312000,,40297921,,,,,,,,,,,,,,,,,,
,15/11/2020,1605398400,,40818148,,,,,,,,,,,,,,,,,,
,16/11/2020,1605484800,,38104917,,,,,,,,,,,,,,,,,,
,17/11/2020,1605571200,,38494421,,,,,,,,,,,,,,,,,,
,18/11/2020,1605657600,,40899251,,,,,,,,,,,,,,,,,,
,19/11/2020,1605744000,,40643925,,,,,,,,,,,,,,,,,,
,20/11/2020,1605830400,,39414251,,,,,,,,,,,,,,,,,,
,21/11/2020,1605916800,,40929372,,,,,,,,,,,,,,,,,,
,22/11/2020,1606003200,,45026823,,,,,,,,,,,,,,,,,,
,23/11/2020,1606089600,,51099698,,,,,,,,,,,,,,,,,,
,24/11/2020,1606176000,,54007367,,,,,,,,,,,,,,,,,,
,25/11/2020,1606262400,,51327463,,,,,,,,,,,,,,,,,,
,26/11/2020,1606348800,,51349111,,,,,,,,,,,,,,,,,,
,27/11/2020,1606435200,,44012112,,,,,,,,,,,,,,,,,,
,28/11/2020,1606521600,,41976916,,,,,,,,,,,,,,,,,,
,29/11/2020,1606608000,,43403403,,,,,,,,,,,,,,,,,,
,30/11/2020,1606694400,,44241768,,,,,,,,,,,,,,,,,,
,01/12/2020,1606780800,,44464772,,,,,,,,,,,,,,,,,,
,02/12/2020,1606867200,,43355244,,,,,,,,,,,,,,,,,,
,03/12/2020,1606953600,,42721849,,,,,,,,,,,,,,,,,,
,04/12/2020,1607040000,,42529346,,,,,,,,,,,,,,,,,,
,05/12/2020,1607126400,,43306353,,,,,,,,,,,,,,,,,,
,06/12/2020,1607212800,,42330270,,,,,,,,,,,,,,,,,,
,07/12/2020,1607299200,,42734545,,,,,,,,,,,,,,,,,,
,08/12/2020,1607385600,,43898186,,,,,,,,,,,,,,,,,,
,09/12/2020,1607472000,,42400957,,,,,,,,,,,,,,,,,,
,10/12/2020,1607558400,,44901127,,,,,,,,,,,,,,,,,,
,11/12/2020,1607644800,,46627858,,,,,,,,,,,,,,,,,,
,12/12/2020,1607731200,,46049980,,,,,,,,,,,,,,,,,,
,13/12/2020,1607817600,,43261750,,,,,,,,,,,,,,,,,,
,14/12/2020,1607904000,,43620882,,,,,,,,,,,,,,,,,,
,15/12/2020,1607990400,,42396996,,,,,,,,,,,,,,,,,,
,16/12/2020,1608076800,,40290940,,,,,,,,,,,,,,,,,,
,17/12/2020,1608163200,,43955293,,,,,,,,,,,,,,,,,,
,18/12/2020,1608249600,,55324551,,,,,,,,,,,,,,,,,,
,19/12/2020,1608336000,,56018146,,,,,,,,,,,,,,,,,,
,20/12/2020,1608422400,,56743833,,,,,,,,,,,,,,,,,,
,21/12/2020,1608508800,,54727688,,,,,,,,,,,,,,,,,,
,22/12/2020,1608595200,,47726963,,,,,,,,,,,,,,,,,,
,23/12/2020,1608681600,,47877074,,,,,,,,,,,,,,,,,,
,24/12/2020,1608768000,,47877074,,,,,,,,,,,,,,,,,,
,25/12/2020,1608854400,,51117076,,,,,,,,,,,,,,,,,,
,26/12/2020,1608940800,,51117076,,,,,,,,,,,,,,,,,,
,27/12/2020,1609027200,,51117076,,,,,,,,,,,,,,,,,,
,28/12/2020,1609113600,,51117076,,,,,,,,,,,,,,,,,,
,29/12/2020,1609200000,,60378538,,,,,,,,,,,,,,,,,,
,30/12/2020,1609286400,,59478343,,,,,,,,,,,,,,,,,,
,31/12/2020,1609372800,,61800718,,,,,,,,,,,,,,,,,,
,01/01/2021,1609459200,,61203969,,,,,,,,,,,,,,,,,,
,02/01/2021,1609545600,,59562862,,,,,,,,,,,,,,,,,,
,03/01/2021,1609632000,,62667082,,,,,,,,,,,,,,,,,,
,04/01/2021,1609718400,,81550101,,,,,,,,,,,,,,,,,,
,05/01/2021,1609804800,,83070357,,,,,,,,,,,,,,,,,,
,06/01/2021,1609891200,,91552604,,,,,,,,,,,,,,,,,,
,07/01/2021,1609977600,,100191588,,,,,,,,,,,,,,,,,,
,08/01/2021,1610064000,,106954624,,,,,,,,,,,,,,,,,,
,09/01/2021,1610150400,,103672151,,,,,,,,,,,,,,,,,,
,10/01/2021,1610236800,,110763880,,,,,,,,,,,,,,,,,,
,11/01/2021,1610323200,,114642952,,,,,,,,,,,,,,,,,,
,12/01/2021,1610409600,,114642952,,,,,,,,,,,,,,,,,,
,13/01/2021,1610496000,,106796698,,,,,,,,,,,,,,,,,,
,14/01/2021,1610582400,,112788346,,,,,,,,,,,,,,,,,,
,15/01/2021,1610668800,,119381785,,,,,,,,,,,,,,,,,,
,16/01/2021,1610755200,,120714703,,,,,,,,,,,,,,,,,,
,17/01/2021,1610841600,,129195087,,,,,,,,,,,,,,,,,,
,18/01/2021,1610928000,,131623321,,,,,,,,,,,,,,,,,,
,19/01/2021,1611014400,,128922479,,,,,,,,,,,,,,,,,,
,20/01/2021,1611100800,,153465430,,,,,,,,,,,,,,,,,,
,21/01/2021,1611187200,,149137206,,,,,,,,,,,,,,,,,,
,22/01/2021,1611273600,,124215529,,,,,,,,,,,,,,,,,,
,23/01/2021,1611360000,,136335712,,,,,,,,,,,,,,,,,,
,24/01/2021,1611446400,,135043248,,,,,,,,,,,,,,,,,,
,25/01/2021,1611532800,,149116760,,,,,,,,,,,,,,,,,,
,26/01/2021,1611619200,,139843110,,,,,,,,,,,,,,,,,,
,27/01/2021,1611705600,,147235487,,,,,,,,,,,,,,,,,,
,28/01/2021,1611792000,,137245364,,,,,,,,,,,,,,,,,,
,29/01/2021,1611878400,,147518366,,,,,,,,,,,,,,,,,,
,30/01/2021,1611964800,,155065702,,,,,,,,,,,,,,,,,,
,31/01/2021,1612051200,,157830355,,,,,,,,,,,,,,,,,,
,01/02/2021,1612137600,,148945181,,,,,,,,,,,,,,,,,,
,02/02/2021,1612224000,,159040070,,,,,,,,,,,,,,,,,,
,03/02/2021,1612310400,,185105576,,,,,,,,,,,,,,,,,,
,04/02/2021,1612396800,,194626469,,,,,,,,,,,,,,,,,,
