,Date,Timestamp,Opyn Squeeth,Opyn Squeeth,Opyn Squeeth,Opyn Squeeth,Opyn Squeeth,Opyn Squeeth
,,,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives
,,,ethereum,Total,ethereum,Total,ethereum,Total
,,,TVL,TVL,Tokens(USD),Tokens(USD),Tokens,Tokens
,,,,,WETH,WETH,WETH,WETH
,12/01/2022,1641945600,8577623.217021707,8577623.217021707,8577623.217021707,8577623.217021707,2642.898232587511,2642.898232587511
,13/01/2022,1642032000,11610289.759965874,11610289.759965874,11610289.759965874,11610289.759965874,3442.1011652249886,3442.1011652249886
,14/01/2022,1642118400,12706962.552197684,12706962.552197684,12706962.552197684,12706962.552197684,3904.110501894586,3904.110501894586
,15/01/2022,1642204800,12944106.20058407,12944106.20058407,12944106.20058407,12944106.20058407,3907.030421994536,3907.030421994536
,16/01/2022,1642291200,12907601.836811323,12907601.836811323,12907601.836811323,12907601.836811323,3869.5737027902555,3869.5737027902555
,17/01/2022,1642377600,13221916.024041425,13221916.024041425,13221916.024041425,13221916.024041425,3940.966143670022,3940.966143670022
,18/01/2022,1642464000,12651516.270762233,12651516.270762233,12651516.270762233,12651516.270762233,3935.8880018332657,3935.8880018332657
,19/01/2022,1642550400,13170746.693985559,13170746.693985559,13170746.693985559,13170746.693985559,4157.63387712902,4157.63387712902
,20/01/2022,1642636800,12830372.446551835,12830372.446551835,12830372.446551835,12830372.446551835,4122.363871324505,4122.363871324505
,21/01/2022,1642723200,12356246.16171079,12356246.16171079,12356246.16171079,12356246.16171079,4113.21387740218,4113.21387740218
,22/01/2022,1642809600,10812518.826544542,10812518.826544542,10812518.826544542,10812518.826544542,4305.184001727837,4305.184001727837
,23/01/2022,1642896000,10554519.958933132,10554519.958933132,10554519.958933132,10554519.958933132,4497.468741961682,4497.468741961682
,24/01/2022,1642982400,11416572.526975356,11416572.526975356,11416572.526975356,11416572.526975356,4605.103386637917,4605.103386637917
,25/01/2022,1643068800,11393884.107823733,11393884.107823733,11393884.107823733,11393884.107823733,4904.7018213232495,4904.7018213232495
,26/01/2022,1643155200,12575973.583731437,12575973.583731437,12575973.583731437,12575973.583731437,5127.606952354028,5127.606952354028
,27/01/2022,1643241600,12702360.726191869,12702360.726191869,12702360.726191869,12702360.726191869,5234.771478033817,5234.771478033817
,28/01/2022,1643328000,12241381.591140693,12241381.591140693,12241381.591140693,12241381.591140693,5281.206344082677,5281.206344082677
,29/01/2022,1643414400,14657890.167840658,14657890.167840658,14657890.167840658,14657890.167840658,5750.053256678498,5750.053256678498
,30/01/2022,1643500800,14059190.81434779,14059190.81434779,14059190.81434779,14059190.81434779,5411.995853480244,5411.995853480244
,31/01/2022,1643587200,14184245.077784207,14184245.077784207,14184245.077784207,14184245.077784207,5426.266087984045,5426.266087984045
,01/02/2022,1643673600,14747371.824674988,14747371.824674988,14747371.824674988,14747371.824674988,5481.813198723853,5481.813198723853
,02/02/2022,1643760000,15308500.789197966,15308500.789197966,15308500.789197966,15308500.789197966,5474.794322883626,5474.794322883626
,03/02/2022,1643846400,14920349.191405464,14920349.191405464,14920349.191405464,14920349.191405464,5551.588073256752,5551.588073256752
,04/02/2022,1643932800,14819189.040086541,14819189.040086541,14819189.040086541,14819189.040086541,5542.629259517771,5542.629259517771
