,Date,Timestamp,Perpetual Protocol,Perpetual Protocol,Perpetual Protocol,Perpetual Protocol,Perpetual Protocol,Perpetual Protocol,Perpetual Protocol,Perpetual Protocol,Perpetual Protocol,Perpetual Protocol,Perpetual Protocol,Perpetual Protocol
,,,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives
,,,optimism,ethereum-staking,Total,staking,optimism,ethereum-staking,Total,staking,optimism,ethereum-staking,Total,staking
,,,TVL,TVL,TVL,TVL,Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens,Tokens,Tokens,Tokens
,,,,,,,USDC,PERP,USDC,PERP,USDC,PERP,USDC,PERP
,14/06/2021,1623628800,,,8561337.5886,,,,8561337.5886,,,,8561337.5886,
,15/06/2021,1623715200,,,10278130.592126327,,,,10278130.592126327,,,,10279559.45089,
,16/06/2021,1623801600,,,10177349.716367008,,,,10177349.716367008,,,,10198685.366153,
,17/06/2021,1623888000,,,9943237.62864633,,,,9943237.62864633,,,,9844789.731333,
,18/06/2021,1623974400,,,10289858.842613,,,,10289858.842613,,,,10289858.842613,
,19/06/2021,1624060800,,,10141069.46152,,,,10141069.46152,,,,10141069.46152,
,20/06/2021,1624147200,,,9783552.431317,,,,9783552.431317,,,,9783552.431317,
,21/06/2021,1624233600,,,9527814.219112,,,,9527814.219112,,,,9527814.219112,
,22/06/2021,1624320000,,,9285780.40393,,,,9285780.40393,,,,9285780.40393,
,23/06/2021,1624406400,,,9055475.160507,,,,9055475.160507,,,,9055475.160507,
,24/06/2021,1624492800,,,9567220.64924,,,,9567220.64924,,,,9567220.64924,
,25/06/2021,1624579200,,,9466080.669526,,,,9466080.669526,,,,9466080.669526,
,26/06/2021,1624665600,,,8884396.102915,,,,8884396.102915,,,,8884396.102915,
,27/06/2021,1624752000,,,8959057.623693,,,,8959057.623693,,,,8959057.623693,
,28/06/2021,1624838400,,,9223635.38067,90769950.58628903,,,9223635.38067,90769950.58628903,,,9223635.38067,16384467.614853617
,29/06/2021,1624924800,,,10400802.722496,100472524.96151991,,,10400802.722496,100472524.96151991,,,10400802.722496,17174790.591712806
